id,Location,lat-lon,Area,Bed,Bath,Price
103,"Block H, Banasree, Dhaka",,"1,800 sqft",4,4,31 Thousand
104,"Block B, Bashundhara R-A, Dhaka",,"2,025 sqft",3,4,45 Thousand
105,"Baridhara, Dhaka",,"1,524 sqft",3,3,1 Lakh
106,"Block I, Bashundhara R-A, Dhaka",,"1,500 sqft",3,3,26 Thousand
107,"Mohammadpur, Dhaka",,"1,200 sqft",3,3,20 Thousand
108,"Mohammadpur, Dhaka",,950 sqft,3,2,19 Thousand
109,"Middle Monipur, Mirpur, Dhaka",,"1,250 sqft",3,3,16 Thousand
110,"Block G, Bashundhara R-A, Dhaka",,"1,000 sqft",2,2,20 Thousand
111,"Block D, Bashundhara R-A, Dhaka",,"1,300 sqft",3,3,60 Thousand
112,"Block K, Baridhara, Dhaka",,"3,000 sqft",3,4,2.4 Lakh
113,"Block B, Niketan, Dhaka",,"1,450 sqft",3,3,54 Thousand
114,"Gulshan 2, Gulshan, Dhaka",,"3,000 sqft",3,4,1.5 Lakh
115,"Block F, Bashundhara R-A, Dhaka",,"2,359 sqft",4,3,55 Thousand
116,"Gulshan 1, Gulshan, Dhaka",,"2,000 sqft",3,3,90 Thousand
117,"Gulshan 1, Gulshan, Dhaka",,"2,000 sqft",3,3,90 Thousand
118,"Block K, Baridhara, Dhaka",,"3,000 sqft",3,3,95 Thousand
119,"Monipuripara, Tejgaon, Dhaka",,"2,200 sqft",4,4,60 Thousand
120,"East Goran, Goran, Khilgaon, Dhaka",,"1,000 sqft",3,3,13 Thousand
121,"Block H, Banasree, Dhaka",,"1,600 sqft",4,3,30 Thousand
122,"Gulshan 1, Gulshan, Dhaka",,"2,200 sqft",3,3,55 Thousand
123,"Sector 10, Uttara, Dhaka",,850 sqft,2,2,14 Thousand
124,"Block D, Bashundhara R-A, Dhaka",,"1,650 sqft",3,3,35 Thousand
125,"Block D, Bashundhara R-A, Dhaka",,"2,100 sqft",3,3,42 Thousand
126,"Niketan, Dhaka",,"2,021 sqft",3,3,50 Thousand
127,"Banani, Dhaka",,"2,960 sqft",4,5,1 Lakh
128,"PC Culture Housing, Mohammadpur, Dhaka",,720 sqft,2,2,15 Thousand
129,"Gulshan 2, Gulshan, Dhaka",,"2,100 sqft",4,4,1 Lakh
130,"Dhanmondi, Dhaka",,"1,800 sqft",3,3,50 Thousand
131,"Block D, Bashundhara R-A, Dhaka",,"1,100 sqft",2,2,1.4 Lakh
132,"Sector 11, Uttara, Dhaka",,"1,550 sqft",3,4,26 Thousand
133,"Shantibag, Malibagh, Dhaka",,600 sqft,2,1,15 Thousand
134,"Rajabazar, Tejgaon, Dhaka",,"1,750 sqft",3,4,33 Thousand
135,"Kajla, Jatra Bari, Dhaka",,800 sqft,3,2,15 Thousand
136,"Sector 7, Uttara, Dhaka",,"1,750 sqft",3,4,55 Thousand
137,"Block F, aziz Moholla, Mohammadpur, Dhaka",,650 sqft,2,2,16 Thousand
138,"Kajla, Jatra Bari, Dhaka",,"1,000 sqft",3,2,15 Thousand
139,"East Bashabo, Bashabo, Dhaka",,700 sqft,2,1,8.5 Thousand
140,"Block A, Kaderabad Housing Society, Bosila, Mohammadpur, Dhaka",,"1,500 sqft",3,3,25 Thousand
141,"Baridhara DOHS, Dhaka",,"1,250 sqft",3,3,45 Thousand
142,"Sector 13, Uttara, Dhaka",,900 sqft,2,2,17 Thousand
143,"Mohammadi Housing LTD., Mohammadpur, Dhaka",,"1,200 sqft",3,3,18 Thousand
144,"Gulshan 1, Gulshan, Dhaka",,"2,750 sqft",4,4,90 Thousand
145,"Block D, Bashundhara R-A, Dhaka",,"1,300 sqft",3,3,35 Thousand
146,"Tejgaon, Dhaka",,600 sqft,2,2,17 Thousand
147,"West Kalachandpur, Kalachandpur, Dhaka",,750 sqft,2,2,14 Thousand
148,"Sector 12, Uttara, Dhaka",,500 sqft,1,1,11 Thousand
149,"Sector 3, Uttara, Dhaka",,"1,200 sqft",2,3,20 Thousand
150,"East Goran, Goran, Khilgaon, Dhaka",,900 sqft,2,2,12 Thousand
151,"Dhaka Real Estate, Katashur, Mohammadpur, Dhaka",,700 sqft,2,2,15 Thousand
152,"Dhaka Real Estate, Katashur, Mohammadpur, Dhaka",,750 sqft,2,2,15 Thousand
153,"Block A, Chandrima Model Town, Mohammadpur, Dhaka",,950 sqft,2,2,10 Thousand
154,"Baridhara, Dhaka",,"4,200 sqft",4,4,4 Lakh
155,"Baridhara, Dhaka",,"4,200 sqft",4,4,4 Lakh
156,"Sector 13, Uttara, Dhaka",,"2,600 sqft",4,4,65 Thousand
157,"Block D, Bashundhara R-A, Dhaka",,"1,300 sqft",3,3,60 Thousand
158,"Block D, Bashundhara R-A, Dhaka",,"1,550 sqft",3,4,36 Thousand
159,"Block A, Section 11, Mirpur, Dhaka",,"1,057 sqft",3,2,18 Thousand
160,"Middle Pirerbag, Pirerbag, Mirpur, Dhaka",,"1,050 sqft",3,2,15 Thousand
161,"Sector 4, Uttara, Dhaka",,"1,500 sqft",3,3,35 Thousand
162,"Block G, Bashundhara R-A, Dhaka",,"2,250 sqft",3,3,75 Thousand
163,"Tejgaon, Dhaka",,400 sqft,1,1,13 Thousand
164,"Sector 5, Uttara, Dhaka",,"1,300 sqft",3,3,60 Thousand
165,"Nikunja 2, Nikunja, Dhaka",,"1,600 sqft",3,3,60 Thousand
166,"Dhanmondi, Dhaka",,"2,200 sqft",3,3,60 Thousand
167,"Block A, Banasree, Dhaka",,850 sqft,2,2,15 Thousand
168,"Baridhara DOHS, Dhaka",,"1,385 sqft",3,4,40 Thousand
169,"Sector 13, Uttara, Dhaka",,"1,000 sqft",2,2,20 Thousand
170,"Sector 12, Uttara, Dhaka",,900 sqft,2,2,17 Thousand
171,"Sector 13, Uttara, Dhaka",,800 sqft,2,2,18 Thousand
172,"Block B, Bashundhara R-A, Dhaka",,"1,600 sqft",3,3,42 Thousand
173,"Gulshan 2, Gulshan, Dhaka",,"2,200 sqft",3,3,85 Thousand
174,"Gulshan 2, Gulshan, Dhaka",,"2,400 sqft",3,3,1.2 Lakh
175,"Block D, Bashundhara R-A, Dhaka",,"1,300 sqft",3,3,40 Thousand
176,"Gulshan 1, Gulshan, Dhaka",,"2,800 sqft",4,4,70 Thousand
177,"Block J, Bashundhara R-A, Dhaka",,"1,250 sqft",3,3,19 Thousand
178,"Block C, Aftab Nagar, Dhaka",,"1,700 sqft",3,3,52.5 Thousand
179,"Block D, Section 2, Mirpur, Dhaka",,800 sqft,2,1,15 Thousand
180,"Block D, Bashundhara R-A, Dhaka",,"1,250 sqft",3,2,24 Thousand
181,"Gulshan 2, Gulshan, Dhaka",,"2,800 sqft",4,4,2.5 Lakh
182,"West Shewrapara, Mirpur, Dhaka",,800 sqft,2,2,14 Thousand
183,"Block A, Section 11, Mirpur, Dhaka",,"1,057 sqft",3,2,18 Thousand
184,"Dhanmondi, Dhaka",,"2,700 sqft",3,4,90 Thousand
185,"Banani, Dhaka",,"3,000 sqft",4,4,1 Lakh
186,"Nayatola, Maghbazar, Dhaka",,550 sqft,2,2,13 Thousand
187,"Block A, Section 11, Mirpur, Dhaka",,"1,057 sqft",3,2,18 Thousand
188,"Block D, Bashundhara R-A, Dhaka",,"2,250 sqft",3,4,35 Thousand
189,"Block B, Nobodoy Housing Society, Mohammadpur, Dhaka",,"1,050 sqft",3,2,16 Thousand
190,"Block C, Section 2, Mirpur, Dhaka",,"1,612 sqft",3,4,25 Thousand
191,"Baitul Aman Housing Society, Adabor, Dhaka",,550 sqft,2,1,8.5 Thousand
192,"Middle Paikpara, Mirpur, Dhaka",,"1,600 sqft",3,3,15 Thousand
193,"Taltola, Khilgaon, Dhaka",,550 sqft,2,1,11 Thousand
194,"Baitul Aman Housing Society, Adabor, Dhaka",,400 sqft,1,1,5 Thousand
195,"South Monipur, Mirpur, Dhaka",,850 sqft,3,2,13 Thousand
196,"Gulshan 2, Gulshan, Dhaka",,"3,000 sqft",4,4,1.5 Lakh
197,"Gulshan 1, Gulshan, Dhaka",,"1,650 sqft",3,3,55 Thousand
198,"Dolipara, Uttara, Dhaka",,"1,800 sqft",5,5,35 Thousand
199,"Sector 3, Uttara, Dhaka",,"1,890 sqft",3,3,38 Thousand
200,"Pirerbag, Mirpur, Dhaka",,"1,200 sqft",3,3,15 Thousand
201,"Sector 4, Uttara, Dhaka",,"2,600 sqft",4,4,75 Thousand
202,"Eskaton, Dhaka",,"1,900 sqft",3,3,45 Thousand
203,"Baridhara, Dhaka",,"2,700 sqft",3,3,1.4 Lakh
204,"Banani, Dhaka",,"1,800 sqft",3,3,70 Thousand
205,"Kajla, Jatra Bari, Dhaka",,800 sqft,3,2,15 Thousand
206,"Sector 5, Uttara, Dhaka",,"1,050 sqft",2,2,20 Thousand
207,"Eskaton, Dhaka",,"1,350 sqft",3,3,30 Thousand
208,"Block D, Bashundhara R-A, Dhaka",,"1,450 sqft",3,3,25 Thousand
209,"Eskaton, Dhaka",,"1,760 sqft",3,4,35 Thousand
210,"Kakrail, Dhaka",,"1,400 sqft",3,3,35 Thousand
211,"Lalmatia, Dhaka",,"1,000 sqft",2,2,26 Thousand
212,"Sector 11, Uttara, Dhaka",,"1,750 sqft",3,3,26 Thousand
213,"Baridhara, Dhaka",,"5,500 sqft",4,5,3.5 Lakh
214,"Sector 6, Uttara, Dhaka",,"1,300 sqft",3,3,35 Thousand
215,"1st Colony, Mirpur, Dhaka",,"1,200 sqft",3,3,16 Thousand
216,"Baridhara, Dhaka",,"1,500 sqft",2,3,1.15 Lakh
217,"Sector 11, Uttara, Dhaka",,900 sqft,2,2,17 Thousand
218,"Uttar Badda, Badda, Dhaka",,"1,393 sqft",3,3,18 Thousand
219,"Block B, Bashundhara R-A, Dhaka",,"2,500 sqft",3,3,80 Thousand
220,"Sector 11, Uttara, Dhaka",,"1,360 sqft",3,3,25 Thousand
221,"Sector 4, Uttara, Dhaka",,"1,450 sqft",3,3,26 Thousand
222,"Mohammadpur, Dhaka",,600 sqft,2,2,18 Thousand
223,"Baitul Aman Housing Society, Adabor, Dhaka",,"1,050 sqft",3,2,15.5 Thousand
224,"Block B, Bashundhara R-A, Dhaka",,"2,000 sqft",3,4,60 Thousand
225,"Chandmiya Housing, Mohammadpur, Dhaka",,"1,050 sqft",2,2,14 Thousand
226,"Block G, Bashundhara R-A, Dhaka",,"1,400 sqft",3,3,36.75 Thousand
227,"Block C, Aftab Nagar, Dhaka",,"1,050 sqft",2,2,16 Thousand
228,"East Merul Badda, Merul Badda, Badda, Dhaka",,870 sqft,2,2,14 Thousand
229,"Sector 11, Uttara, Dhaka",,"1,600 sqft",3,4,50 Thousand
230,"Sector 4, Uttara, Dhaka",,"1,100 sqft",2,2,25 Thousand
231,"Baridhara, Dhaka",,"1,800 sqft",2,2,1.2 Lakh
232,"Sector 12, Uttara, Dhaka",,"1,665 sqft",3,3,35 Thousand
233,"Sector 6, Uttara, Dhaka",,"2,000 sqft",3,4,55 Thousand
234,"Block A, Sat Masjid Housing, Mohammadpur, Dhaka",,900 sqft,2,3,16 Thousand
235,"Sector 3, Uttara, Dhaka",,"1,530 sqft",3,4,33.5 Thousand
236,"Block J, Bashundhara R-A, Dhaka",,"1,200 sqft",3,3,25 Thousand
237,"Avenue 3, Mirpur DOHS, Mirpur, Dhaka",,"2,100 sqft",3,3,35 Thousand
238,"Faydabad, Dakshin Khan, Dhaka",,"2,400 sqft",4,3,30 Thousand
239,"Baridhara, Dhaka",,"3,750 sqft",4,4,3 Lakh
240,"Sector 1, Block F, Aftab Nagar, Dhaka",,"1,300 sqft",3,3,17 Thousand
241,"Block I, Bashundhara R-A, Dhaka",,"1,500 sqft",3,4,25 Thousand
242,"Sector 2, Block F, Aftab Nagar, Dhaka",,650 sqft,2,2,14 Thousand
243,"Block H, Bashundhara R-A, Dhaka",,"1,600 sqft",3,3,22 Thousand
244,"Sector 4, Uttara, Dhaka",,"1,600 sqft",3,4,80 Thousand
245,"Section 2, Mirpur, Dhaka",,"1,400 sqft",3,3,25 Thousand
246,"Middle Pirerbag, Pirerbag, Mirpur, Dhaka",,"1,050 sqft",3,2,15 Thousand
247,"Lalmatia, Dhaka",,"1,360 sqft",3,4,30 Thousand
248,"Sector 3, Uttara, Dhaka",,"2,000 sqft",3,3,70 Thousand
249,"Sector 10, Uttara, Dhaka",,"1,320 sqft",3,3,22 Thousand
250,"Mohammadpur, Dhaka",,550 sqft,1,1,12.5 Thousand
251,"Block F, aziz Moholla, Mohammadpur, Dhaka",,650 sqft,2,1,12 Thousand
252,"Block C, Kaderabad Housing Society, Bosila, Mohammadpur, Dhaka",,750 sqft,3,2,16 Thousand
253,"Mohammadia Housing Society, Mohammadpur, Dhaka",,"2,000 sqft",3,4,30 Thousand
254,"Block D, Mansurabad Housing Society, Adabor, Dhaka",,"1,200 sqft",3,3,20 Thousand
255,"Block C, Bashundhara R-A, Dhaka",,"1,850 sqft",3,4,40 Thousand
256,"Mohakhali DOHS, Dhaka",,"2,000 sqft",2,3,70 Thousand
257,"Mohakhali DOHS, Dhaka",,"2,700 sqft",3,4,85 Thousand
258,"Block K, Bashundhara R-A, Dhaka",,"1,200 sqft",3,3,20 Thousand
259,"Block K, Bashundhara R-A, Dhaka",,"1,200 sqft",3,3,20 Thousand
260,"Faydabad, Dakshin Khan, Dhaka",,800 sqft,3,2,8.5 Thousand
261,"Banani, Dhaka",,"1,650 sqft",3,3,60 Thousand
262,"Sector 11, Uttara, Dhaka",,900 sqft,2,2,18 Thousand
263,"Block A, Bashundhara R-A, Dhaka",,"2,100 sqft",3,4,60 Thousand
264,"Sector 10, Uttara, Dhaka",,"1,450 sqft",3,3,30 Thousand
265,"Sector 13, Uttara, Dhaka",,"1,500 sqft",3,4,25 Thousand
266,"Sector 1, Uttara, Dhaka",,"2,000 sqft",2,2,30 Thousand
267,"Jigatola, Hazaribag, Dhaka",,"1,200 sqft",3,3,20 Thousand
268,"Sector 13, Uttara, Dhaka",,"1,500 sqft",3,4,25 Thousand
269,"Block J, Baridhara, Dhaka",,"2,500 sqft",4,5,70 Thousand
270,"Kallyanpur, Mirpur, Dhaka",,"1,372 sqft",3,3,18 Thousand
271,"Shyamoli Housing, Shekhertek, Mohammadpur, Dhaka",,"1,350 sqft",3,3,20 Thousand
272,"Gulshan 1, Gulshan, Dhaka",,"2,450 sqft",3,4,80 Thousand
273,"Baridhara, Dhaka",,"3,000 sqft",3,4,2.15 Lakh
274,"Baridhara, Dhaka",,"3,200 sqft",4,4,2 Lakh
275,"Wari, Sutrapur, Dhaka",,"1,100 sqft",3,2,22 Thousand
276,"Dhanmondi, Dhaka",,"2,200 sqft",3,4,55 Thousand
277,"Gulshan 1, Gulshan, Dhaka",,"2,720 sqft",3,3,80 Thousand
278,"Block J, Bashundhara R-A, Dhaka",,"1,250 sqft",3,3,20 Thousand
279,"Sector 1, Uttara, Dhaka",,"2,840 sqft",4,4,60 Thousand
280,"Dhanmondi, Dhaka",,"1,778 sqft",3,3,45 Thousand
281,"Mohammadpur, Dhaka",,"2,700 sqft",3,4,60 Thousand
282,"Banani, Dhaka",,"2,400 sqft",3,4,80 Thousand
283,"Sector 5, Uttara, Dhaka",,"1,600 sqft",3,3,40 Thousand
284,"Gulshan 2, Gulshan, Dhaka",,"2,200 sqft",3,3,70 Thousand
285,"Block D, Bashundhara R-A, Dhaka",,"1,776 sqft",3,3,30 Thousand
286,"Mirpur, Dhaka",,500 sqft,2,1,7 Thousand
287,"Hatirpool, Dhaka",,"1,500 sqft",3,3,35 Thousand
288,"South Pirerbag, Pirerbag, Mirpur, Dhaka",,600 sqft,2,1,8.5 Thousand
289,"Gulshan 2, Gulshan, Dhaka",,"3,000 sqft",2,4,1.6 Lakh
290,"Dhaka Real Estate, Katashur, Mohammadpur, Dhaka",,"1,500 sqft",3,3,27 Thousand
291,"Sector 13, Uttara, Dhaka",,"2,600 sqft",4,4,65 Thousand
292,"Sector 5, Uttara, Dhaka",,800 sqft,2,1,16 Thousand
293,"Block C, Bashundhara R-A, Dhaka",,"2,500 sqft",3,3,45 Thousand
294,"Sector 5, Uttara, Dhaka",,"1,400 sqft",3,3,30 Thousand
295,"Block C, Bashundhara R-A, Dhaka",,"1,410 sqft",3,3,28 Thousand
296,"Sector 12, Uttara, Dhaka",,800 sqft,2,2,13.5 Thousand
297,"Block C, Section 2, Mirpur, Dhaka",,"1,612 sqft",3,4,25 Thousand
298,"Dhanmondi, Dhaka",,"2,600 sqft",4,5,70 Thousand
299,"Sector 13, Uttara, Dhaka",,500 sqft,1,1,15 Thousand
300,"Sector 5, Uttara, Dhaka",,"1,600 sqft",3,3,40 Thousand
301,"East Merul Badda, Merul Badda, Badda, Dhaka",,"1,300 sqft",3,3,18 Thousand
302,"Sector 5, Uttara, Dhaka",,"1,600 sqft",3,3,40 Thousand
303,"Taltola, Agargaon, Dhaka",,"1,100 sqft",3,3,20 Thousand
304,"Gulshan 2, Gulshan, Dhaka",,"4,500 sqft",6,6,2.8 Lakh
305,"Block J, Bashundhara R-A, Dhaka",,"1,250 sqft",3,3,20 Thousand
306,"Sector 11, Uttara, Dhaka",,"1,500 sqft",3,4,35 Thousand
307,"Block F, Bashundhara R-A, Dhaka",,"2,700 sqft",4,5,39 Thousand
308,"Gawair, Dakshin Khan, Dhaka",,700 sqft,2,2,10 Thousand
309,"Block D, Bashundhara R-A, Dhaka",,"2,400 sqft",4,4,75 Thousand
310,"Sector 5, Uttara, Dhaka",,650 sqft,2,1,15 Thousand
311,"Mollika R/A, Section 7, Mirpur, Dhaka",,"1,050 sqft",3,2,17 Thousand
312,"Mollika R/A, Section 7, Mirpur, Dhaka",,"1,050 sqft",3,2,17 Thousand
313,"Mohammadpur, Dhaka",,"2,700 sqft",3,3,60 Thousand
314,"Eskaton, Dhaka",,"1,600 sqft",3,3,40 Thousand
315,"Sector 12, Uttara, Dhaka",,"1,800 sqft",3,4,27 Thousand
316,"West Shewrapara, Mirpur, Dhaka",,600 sqft,2,2,12 Thousand
317,"Banani, Dhaka",,"2,200 sqft",3,4,55 Thousand
318,"Sector 14, Uttara, Dhaka",,"1,100 sqft",2,2,20 Thousand
319,"Sector 4, Uttara, Dhaka",,"1,500 sqft",3,4,35 Thousand
320,"Block G, Bashundhara R-A, Dhaka",,"2,100 sqft",4,4,54 Thousand
321,"Sector 3, Uttara, Dhaka",,"1,663 sqft",3,3,35 Thousand
322,"Block B, Bashundhara R-A, Dhaka",,"1,950 sqft",3,4,35 Thousand
323,"Block H, Bashundhara R-A, Dhaka",,950 sqft,2,2,18 Thousand
324,"Road No 4, Block G, Bashundhara R-A, Dhaka",,"1,500 sqft",3,3,25 Thousand
325,"Badda, Dhaka",,950 sqft,2,2,20 Thousand
326,"Sector 3, Uttara, Dhaka",,"2,250 sqft",3,4,65 Thousand
327,"Gulbag, Malibagh, Dhaka",,750 sqft,2,2,16 Thousand
328,"Jamtola, East Rampura, Rampura, Dhaka",,700 sqft,2,2,11.5 Thousand
329,"Gulshan 1, Gulshan, Dhaka",,"2,200 sqft",3,3,50 Thousand
